subject,predicate,object,metadata
She,called upon for,Sound,"She was ideally suited to polar regions worked for 10 years in annual seal fishery in Labrador Sea , proving her worth for many years before she was called upon for Sound ."
Commander Robert Falcon Scott,promoted to rank of,captain,"On return to UK , expedition leader Commander Robert Falcon Scott was promoted to rank of captain ."
Terra Nova,purchased by,American millionaire William Ziegler,"On return from Antarctic Terra Nova was purchased by American millionaire , William Ziegler placed under command of Norwegian , Captain Johan Kjeldsen ."
Terra Nova,placed under command of,Norwegian Captain Johan Kjeldsen,"On return from Antarctic Terra Nova was purchased by American millionaire William Ziegler placed under command of Norwegian , Captain Johan Kjeldsen ."
Terra Nova,sail to,Arctic,She sailed to Arctic to return members of US FialaZiegler expedition from Franz Josef Land to Norway .
US FialaZiegler expedition,lost its ship America,crushed by ice,"This expedition had lost its ship America , crushed by ice , during attempt to reach North Pole ."
Terra Nova,resumed sealing duties with,C.T. Bowring Co.,"After returning to Newfoundland in 1906 , Terra Nova resumed sealing duties with her owners , C.T. Bowring Co. in Ballynacourty , Corkaguiney , County Kerry ."
Tom Crean,was awarded Albert Medal for Lifesaving,explorer,"Tom Crean ( explorer ) Thomas Crean ( 20 July 1877 – 27 July 1938 ) , was Irish seaman Antarctic explorer who was awarded Albert Medal for Lifesaving ."
Tom Crean,member of three major expeditions to Antarctica,Terra Nova Expedition,"Tom Crean was member of three major expeditions to Antarctica during what is known as Heroic Age of Antarctic Exploration , including Robert Falcon Scotts 1911–13 Terra Nova Expedition ."
Tom Crean,member of,three major expeditions to Antarctica,"Tom Crean was member of three major expeditions to Antarctica during what is known as Heroic Age of Antarctic Exploration , including Robert Falcon Scotts 1911–13 Terra Nova Expedition ."
Tom Crean,awarded,Albert Medal for Lifesaving,Tom Crean was Irish seaman Antarctic explorer who was awarded Albert Medal for Lifesaving .
Tom Crean,solo walk across Ross Ice Shelf to save life of,Edward Evans,"During this expedition , Creans solo walk across Ross Ice Shelf to save life of Edward Evans led of St. Johns Liverpool ."
Robert Falcon Scott,lost race to reach South Pole to,Roald Amundsen,This saw race to reach South Pole lost to Roald Amundsen ended in deaths of Scott his polar party .
Scott,polar party,died in,This saw race to reach South Pole lost to Roald Amundsen ended in deaths of Scott his polar party .
Terra Nova,bought by,Captain R.F. Scott RN,"In 1909 , Terra Nova was bought by Captain R.F . Scott RN for sum of 12,500 , as expedition ship for British Antarctic Expedition 1910 ."
Captain R.F. Scott RN,bought Terra Nova for,"sum of 12,500","In 1909 , Terra Nova was bought by Captain R.F. Scott RN for sum of 12,500 , as expedition ship for British Antarctic Expedition 1910 ."
Creans,solo walk across,Ross Ice Shelf,"During this expedition , Creans solo walk across Ross Ice Shelf to save life of Edward Evans led of St. Johns Liverpool ."
Creans,save life of,Edward Evans,"During this expedition , Creans solo walk across Ross Ice Shelf to save life of Edward Evans led of St. Johns Liverpool ."
Terra Nova,bought by,Captain R.F Scott RN,"In 1909 , Terra Nova was bought by Captain R.F . Scott RN for sum of 12,500 , as expedition ship for British Antarctic Expedition 1910 ."
Terra Nova,bought for,British Antarctic Expedition 1910,"In 1909 , Terra Nova was bought by Captain R.F . Scott RN for sum of 12,500 , as expedition ship for British Antarctic Expedition 1910 ."
Terra Nova,sail from,Cardiff Docks,"As she bumped floes with mighty shocks , crushing grinding way through some , twisting turning to avoid others , she seemed like living thing fighting Scott of Antarctic ( film ) Scott of Antarctic is British 1948 Technicolor film which depicts Robert Falcon Scotts ill-fated Terra Nova Expedition his attempt to be first to reach South Pole in Antarctica . John Mills played Scott , with supporting cast which included James Robertson Justice , Derek Bond , Kenneth More , John Gregson , Barry Letts Christopher Lee ."
Terra Nova,reinforced with,seven feet of oak,"As she bumped floes with mighty shocks , crushing grinding way through some , twisting turning to avoid others , she seemed like living thing fighting Scott of Antarctic ( film ) Scott of Antarctic is British 1948 Technicolor film which depicts Robert Falcon Scotts ill-fated Terra Nova Expedition his attempt to be first to reach South Pole in Antarctica . John Mills played Scott , with supporting cast which included James Robertson Justice , Derek Bond , Kenneth More , John Gregson , Barry Letts Christopher Lee ."
Captain Scott,overall command of,Terra Nova Expedition 1910,"As she bumped floes with mighty shocks , crushing grinding way through some , twisting turning to avoid others , she seemed like living thing fighting Scott of Antarctic ( film ) Scott of Antarctic is British 1948 Technicolor film which depicts Robert Falcon Scotts ill-fated Terra Nova Expedition his attempt to be first to reach South Pole in Antarctica . John Mills played Scott , with supporting cast which included James Robertson Justice , Derek Bond , Kenneth More , John Gregson , Barry Letts Christopher Lee ."
Scott of Antarctic ( film),depicts,Robert Falcon Scott's ill-fated Terra Nova Expedition,"Scott of Antarctic ( film) Scott of Antarctic is British 1948 Technicolor film which depicts Robert Falcon Scotts ill-fated Terra Nova Expedition his attempt to be first to reach South Pole in Antarctica . John Mills played Scott , with supporting cast which included James Robertson Justice , Derek Bond , Kenneth More , John Gregson , Barry Letts Christopher Lee ."
John Mills,played,Scott,"John Mills played Scott , with supporting cast which included James Robertson Justice , Derek Bond , Kenneth More , John Gregson , Barry Letts Christopher Lee ."
Scott of Antarctic film,depicts,Robert Falcon Scotts ill-fated Terra Nova Expedition,Scott of Antarctic ( film) Scott of Antarctic is British 1948 Technicolor film which depicts Robert Falcon Scotts ill-fated Terra Nova Expedition his attempt to be first to reach South Pole in Antarctica .
Ealing Studios,produced,Scott of Antarctic film,"Produced by Ealing Studios , film was directed by Charles Frend largely shot at studios , with some landscape glacier exteriors shot in Swiss Alps in Norway no actual scenes were made in Antarctica , lampooned in Monty Python Series 2 episode Scott of Sahara . Scott of Antarctic ."
Charles Frend,directed,Scott of Antarctic film,"Produced by Ealing Studios , film was directed by Charles Frend largely shot at studios , with some landscape glacier exteriors shot in Swiss Alps in Norway no actual scenes were made in Antarctica , lampooned in Monty Python Series 2 episode Scott of Sahara . Scott of Antarctic ."
Scott of Antarctic film,largely shot at,studios,"Produced by Ealing Studios , film was directed by Charles Frend largely shot at studios , with some landscape glacier exteriors shot in Swiss Alps in Norway no actual scenes were made in Antarctica , lampooned in Monty Python Series 2 episode Scott of Sahara . Scott of Antarctic ."
Scott of Antarctic film,with some landscape glacier exteriors shot in,Uruguay,"Scott of Antarctic film largely shot at studios , with some landscape glacier exteriors shot in Swiss Alps in Norway no actual scenes were made in Antarctica , lampooned in Monty Python Series 2 episode Scott of Sahara . Scott of Antarctic ."
Scott of Antarctic film,lampooned in Monty Python Series 2 episode,Scott of Sahara,"Scott of Antarctic film largely shot at studios , with some landscape glacier exteriors shot in Swiss Alps in Norway no actual scenes were made in Antarctica , lampooned in Monty Python Series 2 episode Scott of Sahara . Scott of Antarctic ."
Scott of Antarctic film,Scott of Antarctic is,British 1948 Technicolor film,Scott of Antarctic ( film) Scott of Antarctic is British 1948 Technicolor film which depicts Robert Falcon Scotts ill-fated Terra Nova Expedition his attempt to be first to reach South Pole in Antarctica .
Robert Falcon Scott,attempted to be first to reach,South Pole in Antarctica,Scott of Antarctic ( film) Scott of Antarctic is British 1948 Technicolor film which depicts Robert Falcon Scotts ill-fated Terra Nova Expedition his attempt to be first to reach South Pole in Antarctica .
Scott of Antarctic film,depicts,ill-fated Terra Nova Expedition,Scott of Antarctic ( film) Scott of Antarctic is British 1948 Technicolor film which depicts Robert Falcon Scotts ill-fated Terra Nova Expedition his attempt to be first to reach South Pole in Antarctica .
Scott of Antarctic film,Scott of Antarctic is,British 1948 Technicolor film,Scott of Antarctic ( film) Scott of Antarctic is British 1948 Technicolor film which depicts Robert Falcon Scotts ill-fated Terra Nova Expedition his attempt to be first to reach South Pole in Antarctica .
